# Integration point output from Abaqus ODB
# ODB:   G:\01_Forschung\01_Creep\00_UMAT\UMAT_CLAUDE\Schachter_3D\G1_schachter_seed10.odb
# Step:  Load
# Frame: -1
# Time:  4.800000000000e+03
#
# Columns:
# instance  elementLabel  integrationPoint  x  y  z  SDV3  SDV4
#
G1-1 1838 2 3.553716880483e-02 -8.889171488870e+00 1.171729099709e+02 5.676091670990e+00 -1.759843707085e+00
G1-1 1838 3 1.995947274344e+00 -6.573949552087e+00 1.183609681588e+02 6.511791706085e+00 -2.088218927383e+00
G1-1 1838 4 1.890994695004e-02 -8.646934914103e+00 1.206581255544e+02 5.721594333649e+00 -1.796471714973e+00
G1-1 1839 1 1.599703317088e+01 -8.694684240618e+00 1.028195710032e+02 3.925256729126e+00 -1.221914768219e+00
G1-1 1839 2 1.810011245276e+01 -9.130936459338e+00 1.056208725825e+02 2.303742408752e+00 -4.032337963581e-01
G1-1 1839 3 1.810011245276e+01 -1.122741500648e+01 1.028959820480e+02 4.819648265839e+00 -1.562217593193e+00
G1-1 1839 4 1.810011245276e+01 -7.115498858535e+00 1.027424775645e+02 3.040653228760e+00 -8.521661758423e-01
G1-1 1840 1 7.808564014047e+00 -1.261744497781e+01 9.291955675565e+01 8.606333732605e+00 -2.790134429932e+00
G1-1 1840 2 1.023963826811e+01 -1.216823324798e+01 9.113526947421e+01 8.661429405212e+00 -2.678203582764e+00
G1-1 1840 3 1.023963826811e+01 -1.432444176876e+01 9.486992881036e+01 8.455201148987e+00 -3.096086025238e+00
G1-1 1840 4 9.401112658663e+00 -1.600149251613e+01 9.048809743782e+01 5.893014431000e+00 -1.758569002151e+00
G1-1 1841 1 -6.984693048483e+00 -1.172258806627e+01 9.297857724778e+01 8.609165191650e+00 -2.785608053207e+00
G1-1 1841 2 -1.004514859766e+01 -1.411319458962e+01 9.488386165857e+01 8.524371147156e+00 -2.960385799408e+00
G1-1 1841 3 -1.004514859766e+01 -1.195698630461e+01 9.114920232242e+01 8.687639236450e+00 -2.625795841217e+00
G1-1 1841 4 -9.206623106102e+00 -1.579024533699e+01 9.050203217212e+01 6.219377517700e+00 -1.845992088318e+00
G1-1 1842 1 -5.789176957344e+00 1.536692156623e+01 1.046302422328e+02 3.551609277725e+00 -9.802519679070e-01
G1-1 1842 2 -7.538756863332e+00 1.795136351642e+01 1.072805763076e+02 3.389677762985e+00 -9.440762996674e-01
G1-1 1842 3 -3.346129464460e+00 1.795136351642e+01 1.028987449351e+02 3.413499593735e+00 -9.073134064674e-01
G1-1 1842 4 -7.538756863332e+00 1.795136351642e+01 1.028987449351e+02 2.813906908035e+00 -6.587461233139e-01
G1-1 1843 1 1.771352549156e+01 -1.269572427433e+01 9.173796758447e+01 1.301277637482e+00 -5.721927061677e-02
G1-1 1843 2 1.771352549156e+01 -1.652898330672e+01 9.109079743417e+01 5.417010188103e-01 1.318935275078e+00
G1-1 1843 3 1.771352549156e+01 -1.485193255935e+01 9.547262692062e+01 2.462156116962e-01 3.284879624844e-01
G1-1 1843 4 1.435942352531e+01 -1.485193232359e+01 9.547262692062e+01 7.242651462555e+00 -4.015305995941e+00
G1-1 1844 1 7.926898640939e+00 -1.411251687331e+01 1.079093709472e+02 4.181303977966e+00 -1.105028033257e+00
G1-1 1844 2 6.094148638527e+00 -1.648882658447e+01 1.073552330684e+02 7.486571788788e+00 -2.430035114288e+00
G1-1 1844 3 5.300848747843e+00 -1.370403296397e+01 1.077469816965e+02 7.565655231476e+00 -2.430112838745e+00
G1-1 1844 4 8.936345864551e+00 -1.433261853521e+01 1.047927966121e+02 3.086307525635e+00 -4.589904546738e-01
G1-1 1845 1 1.452188046189e+01 -1.304104547172e+01 8.566395932630e+01 5.235517024994e+00 -1.599940419197e+00
G1-1 1845 2 1.696008030451e+01 -1.175922014882e+01 8.854082084433e+01 2.955953359604e+00 -8.541560173035e-01
G1-1 1845 3 1.360597833826e+01 -1.175922014882e+01 8.854082084433e+01 8.590297698975e+00 -2.820492029190e+00
G1-1 1845 4 1.696008030451e+01 -1.559247918120e+01 8.789365069403e+01 9.239513278008e-01 4.694668054581e-01
G1-1 1846 1 1.385171688456e+01 9.000450488092e+00 1.087117170253e+02 5.916050910950e+00 -1.937332749367e+00
G1-1 1846 2 1.660392724522e+01 1.058892111720e+01 1.125726465087e+02 6.603819370270e+00 -2.188482522964e+00
